title,release_date,director,cast
In Her Shoes,2005,Curtis Hanson,"Cameron Diaz, Toni Collette, Shirley MacLaine, Mark Feuerstein"
Grease,,Randal Kleiser,"John Travolta, Eve Arden, Dinah Manoff, Jamie Donnelly, Didi Conn, Kelly Ward, Michael Tucci, Barry Pearl, Jeff Conaway, Stockard Channing, Olivia Newton-John, Frankie Avalon"
10 Things I Hate about You,1999,Gil Junger,"Heath Ledger, Julia Stiles, Joseph-Gordon Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan, Larry Miller, Allison Janney"
"Rainmaker, The",1997,Francis Ford Coppola,"Matt Damon, Teresa Wright, Dean Stockwell, Andrew Shue, Roy Scheider, Mickey Roarke, Virginia Madsen, Mary Kay Place, Danny Glover, Jon Voight, Danny DeVito, Claire Danes, Johnny Whitworth"
"Mighty Heart, A",2007,Michael Winterbottom,"Angelina Jolie, Dan Futterman, Archie Panjabi, Denis O'Hare, Aly Khan, Irfan Khan, Will Patton"
Roman de Gare (Cross Tracks),2008,Claude Lelouch,"Dominique Pinon, Fanny Ardant, Audrey Dana, Michèle Bernier, Zinedine Soualem"
Prozac Nation,2003,Erik Skjoldbjærg,"Christina Ricci, Anne Heche, Michelle Williams, Jason Biggs, Jonathan Rhys-Meyers, Jessica Lange"
"Mask of Zorro, The",1998,Martin Campbell,"Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones, Stuart Wilson, Matt Letscher"
Nell,1994,Michael Apted,"Jodie Foster, Liam Neeson, Natasha Richardson, Richard Libertini, Nick Searcy"
"Tourist, The",2010,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton, Steven Berkoff, Rufus Sewell"
"Fighter, The",2010,David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, Jack McGee, Mickey O'Keefe"
I Love You Phillip Morris,2010,"Glenn Ficarra, John Requa","Jim Carrey, Ewan McGregor, Leslie Mann, Rodrigo Santoro"
TRON,1982,Steven Lisberger,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan, Barnard Hughes, Dan Shor, Peter Jurasik"
"Chronicles of Narnia, The: The Voyage of the Dawn Treader",2010,Michael Apted,"Georgie Henley, Skandar Keynes, Will Poulter, Ben Barnes, Gary Sweet, Bille Brown, Laura Brent, Liam Neeson (voice), Simon Pegg (voice)"
All Good Things,2010,Andrew Jarecki,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe, Philip Baker Hall, Diane Venora, Kristin Wiig"
Black Swan,2010,Darren Aronofsky,"Natalie Portman, Vincent Cassel, Mila Kunis, Barbara Hershey, Winona Ryder"
All the King's Men,,Robert Rossen,"Broderick Crawford, John Ireland, Joanne Dru, John Derek, Marcedes McCambridge, Shepperd Strudwick, Raymond Greenleaf"
Burlesque,2010,Steve Antin,"Cher, Christina Aguilera, Eric Dane, Cam Gigandet, Julianne Hough, Alan Cumming, Peter Gallagher, Kristen Bell, Stanley Tucci"
Faster,2010,George Tillman Jr.,"Dwayne Johnson, Billy Bob Thornton, Oliver Jackson-Cohen, Carla Gugino, Maggie Grace, Moon Bloodgood"
"Like Father, Like Son",2014,Hirokazu Kore-eda,"Masaharu Fukuyama, Machicko Ono, Yoko Maki, Riri Furanki, Jon Fubuki, Shogen Hwang"
I am a Fugitive from a Chain Gang,,Mervyn LeRoy,"Paul Muni, Glenda Farrell, Helen Vinson, Noel Francis, Preston Foster, Allen Jenkins"
Ride Along,2014,Tim Story,"Ice Cube, Kevin Hart, Tika Sumpter, John Leguizamo, Bryan Callen, Bruce McGill, Laurence Fishburne"
Jack Ryan: Shadow Recruit,2014,Kenneth Branagh,"Chris Pine, Kiera Knightley, Kevin Costner, Kenneth Branagh, Lenn Kudrjawizki, Alec Utgoff"
"Invisible Woman, The",2014,Ralph Fiennes,"Felicity Jones, Ralph Fiennes, Kristin Scott Thomas, Tom Hollander, John Kavanagh, Joanna Scanlan"
August: Osage County,2014,John Wells,"Meryl Streep, Benedict Cumberbatch, Abigail Breslin, Dermot Mulroney, Margo Martindale, Juliette Lewis, Julianne Nicholson, Ewan McGregor, Chris Cooper, Julia Roberts, Sam Shepard"
Her,2014,Spike Jonze,"Joaquin Phoenix, Scarlett Johansson (voice), Rooney Mara, Amy Adams, Matt Letscher, Chris Pratt, Olivia Wilde, Portia Doubleday"
Lone Survivor,2014,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster, Eric Bana"
"Wolf of Wall Street, The",2013,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Kyle Chandler, Rob Reiner, Jean Dujardin, Joanna Lumley, Matthew McConaughey"
"Secret Life of Walter Mitty, The",2013,Ben Stiller,"Ben Stiller, Kristen Wiig, Sean Penn, Adam Scott, Shirley MacLean, Kathryn Hahn"
"Fault in Our Stars, The",2014,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern, Sam Trammell, Willem Dafoe, Lotte Verbeek"
"Million Ways to Die in the West, A",2014,Seth MacFarlene,"Seth MacFarlane, Charlize Theron, Amanda Seyfried, Liam Neeson, Giovanni Ribisi, Neil Patrick Harris, Sarah Silverman"
Maleficent,2014,Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville, Imelda Staunton, Juno Temple, Sam Riley"
Blended,2014,Frank Coraci,"Adam Sandler, Drew Barrymore, Kevin Nealon, Terry Crews, Wendi McLendon-Covey, Bella Thorne"
X-Men: Days of Future Past,2014,Bryan Singer,"Hugh Jackman, Ellen Page, Nicholas Hoult, Halle Berry, Jennifer Lawrence, Ian McKellan, Patrick Stewart, Michael Fassbender, James McAvoy, Peter Dinklage"
Million Dollar Arm,2014,Craig Gillespie,"Jon Hamm, Madhur Mittal, Suraj Sharma, Lake Bell, Alan Arkin, Bill Paxton, Aasif Mandvi"
Palo Alto,2014,Gia Coppola,": Jack Kilmer, Nat Wolff, Emma Roberts, Zoe Levin, James Franco"
Godzilla,2014,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Juliette Binoche, Ken Watanabe, Sally Hawkins, David Strathairn"
Neighbors,2014,Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, Dave Franco, Ike Barinholtz, Carla Gallo"
Locke,2014,Steven Knight,Tom Hardy
Diana,2013,Oliver Hirschbiegel,"Naomi Watts, Naveen Andrews, Cas Anvar"
Ender's Game,2013,Gavin Hood,"Asa Butterfield, Harrison Ford, Hailee Steinfeld, Abigail Breslin, Ben Kingsley, Viola Davis"
Blue is the Warmest Color,2013,Abdellatif Kechiche,"Adele Exarchopoulos, Lea Seydoux"
"Counselor, The",2013,Ridley Scott,"Michael Fassbender, Penelope Cruz, Cameron Diaz, Javier Bardem, Brad Pitt, Rosie Perez"
All is Lost,2013,J.C. Chandor,Robert Redford
12 Years a Slave,2013,Steve McQueen,"Chiwetel Ejiofor, Michael Fassbander, Lupita Nyong'o, Benedict Cumberbatch, Paul Dano, Sarah Paulson, Adepero Oduye, Brad Pitt"
"Fifth Estate, The",2013,Bill Condon,"Benedict Cumberbatch, Peter Capaldi, Anthony Mackie, Stanley Tucci, Laura Linney, Carice van Houten, Moritz Bleibtreu, Alicia Vikander, David Thewlis, Daniel Bruhl, Alexander Siddig"
Escape Plan,2013,Mikael Hafstrom,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Faran Tahir, Sam Neill, Amy Ryan"
Carrie (2013),2013,Kimberly Peirce,"Chloe Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday, Ansel Elgort, Judy Greer"
Machete Kills,2013,Robert Rodriguez,"Danny Trejo, Cuba Gooding Jr., Antonio Banderas, Lady Gaga, Charlie Sheen, Sofia Vergara, Michelle Rodriguez, Amber Heard, Demian Bichir, Mel Gibson, Vanessa Hudgens"
Easy Virtue,2009,Stephan Elliott,"Jessica Biel, Ben Barnes, Kristin Scott Thomas, Colin Firth, Kimberly Nixon, Katherine Parkinson, Kris Marshall, Christian Brassington, Charlotte Riley"
Terminator 2: Judgment Day,1991,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Joe Morton"
Summer Hours (L'Heure d'ete),2009,Olivier Assayas,"Juliette Binoche, Charles Berling, Jérémie Renier, Edith Scob, Dominique Reymond, Valérie Bonneton, Isabelle Sadoyan, Kyle Eastwood, Alice de Lencquesaing"
"Merry Gentleman, The",2009,Michael Keaton,"Michael Keaton, Kelly Macdonald, Tom Bastounes, Darlene Hunt, Bobby Cannavale"
"Terminator, The",1984,James Cameron,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield, Lance Henriksen"
Star Trek,2009,J.J. Abrams,"Chris Pine, Anton Yelchin, Zoe Saldana, John Cho, Simon Pegg, Karl Urban, Eric Bana, Leonard Nimoy, Zachary Quinto, Bruce Greenwood"
X-Men Origins: Wolverine,2009,Gavin Hood,"Hugh Jackman, Daniel Henney, Taylor Kitsch, Dominic Monaghan, Kevin Durand, Lynn Collins, Will i Am, Danny Huston, Liev Schreiber, Ryan Reynolds"
Ghosts of Girlfriends Past,2009,Mark Waters,"Matthew McConaughey, Noureen DeWulf, Emma Stone, Anne Archer, Robert Forster, Lacey Chabert, Breckin Meyer, Michael Douglas, Jennifer Garner, Olga Maliouk"
"Limits of Control, The",2009,Jim Jarmusch,"Isaach De Bankolé, Tilda Swinton, John Hurt, Gael Garcia Bernal, Paz de la Huerta, Youki Kudoh, Hiam Abbas, Bill Murray"
Flashdance,1983,Adrian Lyne,"Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson, Kyle T. Heffner"
"Kid Who Would Be King, The",2019,Joe Cornish,"Louis Ashboure Serkis, Dean Chaumoo, Tom Taylor, Rhianna Dorris, Angus Imrie, Rebecca Ferguson, Patrick Stewart"
Grand Illusion,,Jean Renoir,"Jean Gabin, Marcel Dalio, Pierre Fresnay, Erich von Stroheim, Dita Parlo"
Close,2019,Vicky Jewson,"Noomi Rapace, Sophie Nelisse, Indira Varma"
Adult Life Skills,2019,Rachael Tunnard,"Jodie Whittaker, Lorraine Ashbourne, Brett Goldstein, Rachael Deering, Eileen Davies, Edward Hogg, Ozzy Myers"
Glass,2019,M. Night Shyamalan,"James McAvoy, Bruce Willis, Samuel L. Jackson, Sarah Paulson, Anya Taylor-Joy, Spencer Treat Clark, Charlayne Woodard"
All These Small Moments,2019,Melissa B. Miller,"Brendan Meyer, Jemima Kirke, Molly Ringwald, Brian d’Arcy James, Harley Quinn Smith, Sam McCarthy"
"Upside, The",2019,Neil Burger,"Kevin Hart, Bryan Cranston, Nicole Kidman, Julianna Margulies"
Rust Creek,2019,Jen McGowan,"Hermione Corfield, Jay Paulson, Micah Hauptman, Sean O’Bryan, Daniel R. Hill, Jeremy Glazer"
Escape Room,2019,Adam Robitel,"Taylor Russell, Logan Miller, Deborah Ann Woll, Jay Ellis, Tyler Labine, Nik Dodani"
Kiki's Delivery Service,1990,Hayao Miyazaki,"Minami Takayama, Rei Sakuma, Kappei Yamaguchi, Keiko Toda, Mieko Nobusawa, Koichi Miura"
"Good Luck to You, Leo Grande",2022,Sophie Hyde,"Emma Thompson, Daryl McCormack"
Brian and Charles,2022,Jim Archer,"David Earl, Chris Hayward, Louise Brealey, Jamie Michie"
Jurassic World: Dominion,2022,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Sam Neill, Jeff Goldblum, Laura Dern, DeWanda Wise, Mamoudou Athie, Isabella Sermon, Campbell Scott, BD Wong, Omar Sy"
Top Gun: Maverick,2022,Joseph Kosinski,"Tom Cruise, Jean Louisa Kelly, Glen Powell, Danny Ramirez, Jay Ellis, Lewis Pullman, Monica Barbaro, Charles Parnell, Jon Hamm, Bashir Salahuddin, Jennifer Connelly, Miles Teller, Val Kilmer, Ed Harris"
Emergency,2022,Carey Williams,"RJ Cyler, Donald Elise Watkins, Sebastian Chacon, Sabrina Carpenter, Maddie Nichols, Madison Thompson, Diego Abraham"
Top Gun,1986,Tony Scott,"Tom Cruise, Tim Robbins, Rick Rossovich, Barry Tubb, John Stockwell, Michael Ironside, Tom Skerritt, Anthony Edwards, Val Kilmer, Kelly McGillis, Meg Ryan"
Montana Story,2022,"Scott McGehee, David Siegel","Owen Teague, Haley Lu Richardson, Gilbert Owuor, Kimberly Guerrero"
Downton Abbey: A New Era,2022,Simon Curtis,"Hugh Bonneville, Dominic West, Allen Leech, Hugh Dancy, Imelda Staunton, Penelope Wilton, Phyllis Logan, Jim Carter, Laura Carmichael, Michelle Dockery, Maggie Smith, Elizabeth McGovern, Laura Haddock"
Men,2022,Alex Garland,"Jessie Buckley, Rory Kinnear, Paapa Essiedu, Gayle Rankin, Zak Rothera-Oxley"
Firestarter,2022,Keith Thomas,"Zac Efron, Ryan Kiera Armstrong, Sydney Lemmon, Gloria Reuben, Michael Greyeyes, Kurtwood Smith, John Beasley"
Star Wars Episode III: Revenge of the Sith,2005,George Lucas,"Ewan McGregor, Peter Mayhew, Kenny Baker, Christopher Lee, Anthony Daniels, Frank Oz, Jimmy Smits, Samuel L. Jackson, Ian McDiarmid, Natalie Portman, Hayden Christensen, James Earl-Jones (voice)"
Catch and Release,2007,Susannah Grant,"Jennifer Garner, Timothy Olyphant, Sam Jaeger, Kevin Smith, Juliette Lewis"
Moolaadé,2004,Ousmane Sembene,"Fatoumata Coulibaly, Maïmouna Hélène Diarra, Salimata Traoré, Dominique T. Zeïda, Mah Compaoré"
Tristram Shandy: A Cock and Bull Story,2006,Michael Winterbottom,"Steve Coogan, Rob Brydon, Keely Hawes, Jeremy Northam, Naomie Harris, Kelly Macdonald, Ian Hart, Stephen Fry, Gillian Anderson"
Love's Labour's Lost,2000,Kenneth Branagh,"Kenneth Branagh, Richard Briers, Emily Mortimer, Adrian Lester, Matthew Lillard, Carmen Ejogo, Natascha McElhone, Alessandro Nivola, Alicia Silverstone, Geraldine McEwan"
Wes Craven's New Nightmare,1994,Wes Craven,"Heather Langenkamp, Robert Englund, Miko Hughes, David Newsom, Tracy Middendorf, John Saxon, Wes Craven"
Enchanted,2007,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Susan Sarandon, Idina Menzel, Rachel Covey"
Dear Frankie,2005,Shona Auerbach,"Emily Mortimer, Jack McElhone, Gerard Butler, Sharon Small, Mary Riggans"
Code Name: The Cleaner,2007,Les Mayfield,"Cedric the Entertainer, Lucy Liu, Nicollette Sheridan, Mark Dacascos, Callum Keith Rennie"
Candy,2006,Neil Armfield,"Heath Ledger, Abbie Cornish, Geoffrey Rush"
Fugitive Pieces,2008,Jeremy Podeswa,"Stephen Dillane, Rade Serbedzija, Rosamund Pike, Ayelet Zurer, Robbie Kay, Ed Stoppard"
Hoodwinked,2006,Cory Edwards,"(voices) Anne Hathaway, Clenn Close, Patrick Warburton, James Belushi, Xzbit, Anthony Anderson, David Ogden Stiers, Andy Dick"
"Ring 2, The",2005,Hideo Nakata,"Naomi Watts, Simon Baker, David Dorfman, Elizabeth Perkins, Gary Cole, Sissy Spacek"
Le Samourai,,Jean-Pierre Melville,"Alain Delon, François Périer, Nathalie Delon, Cathy Rosier, Jacques Leroy"
Planet of the Apes,2001,Tim Burton,"Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan, Kris Kristofferson, Estella Warren, Paul Giamatti, Cary-Hiroyuki Tagawa, David Warner"
"Band's Visit, The",2008,Erin Kolirin,"Sasson Gabai, Ronit Elkabetz, Saleh Bakri, Khalifa Natour"
Pearl Harbor,2001,Michael Bay,"Ben Affleck, Dan Aykroyd, Colm Feore, Mako, Cuba Gooding Jr., Jon Voight, James King, Alec Baldwin, Ewen Bremner, Kate Beckinsale, Josh Hartnett, Tom Sizemore"
Interview,2007,Steve Buscemi,"Steve Buscemi, Sienna Miller"
Casino Royale,2006,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Jeffrey Wright, Giancarlo Giannini, Caterina Murino"
How to Eat Fried Worms,2006,Bob Dolman,"Luke Benward, Hallie Kate Eisenberg, Adam Hicks, Austin Rogers, James Rebhorn, Thomas Cavanagh, Kimberly Williams-Paisley"
"Fish Called Wanda, A",1988,Charles Crichton,"Kevin Kline, John Cleese, Michael Palin, Jamie Lee Curtis, Maria Aitken, Tom Georgeson, Patricia Hayes, Cynthia Cleese"
Hide and Seek,2005,John Polson,"Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue, Amy Irving, Dylan Baker"
Elizabethtown,2005,Cameron Crowe,"Orlando Bloom, Kirsten Dunst, Susan Sarandon, Judy Greer, Alec Baldwin, Bruce McGill, Jessica Biel"
Good,2008,Vicente Amorim,"Viggo Mortensen, Jason Isaacs, Jodie Whittaker, Steven Mackintosh, Mark Strong"
Fallen,1998,Gregory Hoblit,"Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz, James Gandolfini, Elias Koteas"
Jade,1995,William Friedkin,"David Caruso, Linda Fiorentino, Chazz Palminteri, Michael Biehn, Donna Murphy, Angie Everhart, Richard Crenna"
Into the Wild,2007,Sean Penn,"Emile Hirsch, Vince Vaughn, Hal Holbrook, William Hurt, Marcia Gay Harden, Catherine Keener, Brian Dierker, Jena Malone, Kristen Stewart"
Scream,1996,Wes Craven,"Neve Campbell, Rose McGowan, Skeet Ulrich, Courteney Cox, David Arquette, Matthew Lillard, Jamie Kennedy, Drew Barrymore, Henry Winkler"
Doom,2005,Andrzej Bartkowiak,"The Rock, Dexter Fletcher, Al Weaver, Richard Brake, Raz Adoti, Ben Daniels, DeObia Oparei, Rosamund Pike, Karl Urban, Brian Steele"
"Exorcism of Emily Rose, The",2005,Scott Derrickson,"Laura Linney, Tom Wilkinson, Campbell Scott, Jennifer Carpenter, Colm Feore, Mary Beth Hurt, Shohreh Aghdashloo"
How to Train Your Dragon,2010,"Chris Sanders, Dean DeBlois","(voices) Jay Baruchel, America Ferrera, Gerard Butler, Craig Ferguson, Jonah Hill, Kristin Wiig, David Tennant"
"Eclipse, The",2010,Conor McPherson,"Ciaran Hinds, Iben Hjejle Aidan Quinn"
Hot Tub Time Machine,2010,Steve Pink,"John Cusack, Lizzy Caplan, Chevy Chase, Crispin Glover, Lyndsy Fonseca, Sebastian Stan, Rob Corddry, Craig Robinson, Clark Duke, Collette Wolfe"
Chloe,2010,Atom Egoyan,"Liam Neeson, Julianne Moore, Amanda Seyfried, Max Thieriot"
Repo Men,2010,Miguel Sapochnik,"Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber, Carice van Houten"
"Girl with the Dragon Tattoo, The",2010,Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace, Peter Haber, Sven-Bertil Taube, Peter Andersson, Ingvar Hirdwall, Marika Lagercrantz"
"Bounty Hunter, The",2010,Andy Tennant,"Jennifer Aniston, Gerard Butler, Jason Sudeikis, Adam Rose, Christine Baranski, Dorian Missick, Peter Greene"
Mother,2010,Joon-ho Bong,"Hye-ja Kim, Bin Won, Goo Jin"
"Runaways, The",2010,Floria Sigismondi,"Kristen Stewart, Dakota Fanning, Michael Shannon, Scout Taylor-Compton, Alia Shawkat, Stella Maeve, Riley Keough"
City Island,2010,Raymond De Felitta,"Andy Garcia, Julianna Margulies, Emily Mortimer, Steven Strait, Dominik Garcia-Lorido, Ezra Miller, Alan Arkin"
Greenland,2020,Ric Roman Waugh,"Gerard Butler, Morena Baccarin, Roger Dale Floyd, Scott Glenn"
Ma Rainey's Black Bottom,2020,George C. Wolfe,"Chadwick Boseman, Viola Davis, Glynn Turman, Colman Domingo, Michael Potts"
"Prom, The",2020,Ryan Murphy,"Meryl Streep, Mary Kay Place, Andrew Rannells, Kerry Washington, Keegan-Michael Key, Ariana DeBose, Jo Ellen Pellman, Nicole Kidman, James Corden, Tracey Ullman"
Let Them All Talk,2020,Steven Soderbergh,"Meryl Streep, Dianne Wiest, Candice Bergen, Lucas Hedges, Gemma Chan, Dan Algrant"
Wander Darkly,2020,Tara Miele,"Sienna Miller, Diego Luna, Beth Grant"
Sound of Metal,2020,Darius Marder,"Riz Ahmed, Olivia Cooke, Paul Raci, Mathieu Amalric"
Nomadland,2020,Chloe Zhao,"Frances McDormand, David Strathairn, Linda May, Bob Wells, Swankie"
Mank,2020,David Fincher,"Gary Oldman, Charles Dance, Tom Bruke, Sam Troughton, Joseph Cross, Monika Grossman, Tuppence Middleton, Arliss Howard, Tom Pelphrey, Lily Collins, Amanda Seyfried, Jamie McShane"
Black Bear,2020,Lawrence Michael Levine,"Aubrey Plaza, Sarah Gadon, Christopher Abbott"
Ammonite,2020,Francis Lee,"Kate Winslet, Saoirse Ronan, Gemma Jones, Fiona Shaw, James McArdle"
I Now Pronounce You Chuck and Larry,2007,Dennis Dugan,"Adam Sandler, Kevin James, Jessica Biel, Dan Aykroyd, Ving Rhames, Steve Buscemi"
"Good Shepherd, The",2006,Robert De Niro,"Matt Damon, John Turturro Tammy Blanchard, William Hurt, Michael Gambon, Billy Crudip, Alec Baldwin, Joe Pesci, Angelina Jolie, Robert De Niro, Oleg Stefan"
Looking for Comedy in the Muslim World,2006,Albert Brooks,"Albert Brooks, Sheetal Sheth, John Carroll Lynch, Jon Tenney, Amy Ryan"
Babylon A.D.,2008,Mathieu Kassovitz,"Vin Diesel, Michelle Yeoh, Mélanie Thierry, Gérard Depardieu, Charlotte Rampling, Mark Strong, Lambert Wilson"
Shine,1996,Scott Hicks,"Geoffrey Rush, Armin Mueller-Stahl, Noah Taylor, Lynn Redgrave, Googie Withers, John Gielgud, Sonia Todd, Alex Rafalowicz, Nicholas Bell"
Michael Collins,1996,Neil Jordan,"Liam Neeson, Aidan Quinn, Julia Roberts, Alan Rickman, Stephen Rea, Ian Hart, Brendan Gleeson, Stuart Graham, Charles Dance"
My Name Is Joe,1999,Ken Loach,"Peter Mullan, Louise Goodall, David McKay, Anne-Marie Kennedy, David Hayman, Gary Lewis"
Toy Story,1995,John Lasseter,"(voices) Tom Hanks, Tim Allen, Don Rickles, Wallace Shawn, John Ratzenberger, Jim Varney, Annie Potts"
Pleasantville,1998,Gary Ross,"Tobey Maguire, Reese Witherspoon, Jeff Daniels, Joan Allen, William H. Macy, J.T. Walsh, Don Knotts, Marley Shelton, Jane Kaczmarek"
"Invasion, The",2007,Oliver Hirschbiegel,"Nicole Kidman, Daniel Craig, Jeremy Northam, Jackson Bond, Jeffrey Wright, Veronica Cartwright"
"Most Violent Year, A",2014,J.C. Chandor,"Alessandro Nivola, Albert Brooks, David Oyelowo, Oscar Isaac, Jessica Chastain, Elyes Gabel"
"Boy Next Door, The",2015,Rob Cohen,"Jennifer Lopez, John Corbett, Kristin Chenoweth, Ryan Guzman, Ian Nelson"
Mr. Turner,2014,Mike Leigh,"Timothy Spall, Paul Jesson, Dorothy Atkinson, Marion Bailey, Ruth Sheen"
Spare Parts,2015,Sean McNamara,"George Lopez, Marisa Tomei, Jamie Lee Curtis, Esai Morales, Carlos PenaVega, David Del Rio, Jose Julian, J.R. Villarreal, Alexa PenaVega"
Still Alice,2015,"Richard Glatzer, Wash Westmoreland","Julianne Moore, Alec Baldwin, Kristen Stewart, Kate Bosworth, Hunter Parrish"
Blackhat,2015,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang, Holt McCallany"
"Wedding Ringer, The",2015,Jeremy Garelick,"Cloris Leachman, Olivia Thirlby, Ken Howard, Kevin Hart, Mimi Rogers, Josh Gad, Kaley Cuoco-Sweeting"
Taken 3,2015,Olivier Megaton,"Liam Neeson, Famke Janssen, Forest Whitaker, Maggie Grace, Dougray Scott, Sam Spruell"
Selma,2014,Ava DuVernay,"David Oyelowo, Tom Wilkinson, Carmen Ejogo, Tim Roth, Giovanni Ribisi, Oprah Winfrey, Common, Colman Domingo"
Predestination,2015,The Spierig Brothers,"Ethan Hawke, Sarah Snook, Noah Taylor"
Jumanji: The Next Level,2019,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black, Awkwafina, Danny DeVito, Danny Glover, Madison Iseman, Morgan Turner, Ser’Darius Blain, Alex Wolff, Colin Hanks, Nick Jonas, Rory McCann"
Marriage Story,2019,Noah Baumbach,"Scarlett Johansson, Adam Driver, Laura Dern, Ray Liotta, Alan Alda, Julie Hagerty, Azhy Robertson"
"Aeronauts, The",2019,Tom Harper,"Felicity Jones, Eddie Redmayne"
Frozen II,2019,"Jennifer Lee, Chris Buck","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling K. Brown, Evan Rachel Wood, Alfred Molina"
Knives Out,2019,Rian Johnson,"Daniel Craig, Katherine Langford, Christopher Plummer, Lakeith Stanfield, Toni Collette, Don Johnson, Michael Shannon, Jamie Lee Curtis, Ana de Armas, Chris Evans, Frank Oz"
"Beautiful Day in the Neighborhood, A",2019,Marielle Heller,"Tom Hanks, Matthew Rhys, Chris Cooper, Susan Kelechi Watson, Maryann Plunkett, Enrico Colantoni"
"Irishman, The",2019,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Bobby Cannavale, Ray Romano, Stephen Graham, Jesse Plemons, Anna Paquin, Kathrine Narducci, Aleksa Palladino, Domenick Lombardozzi"
Ford v. Ferrari,2019,James Mangold,"Matt Damon, Tracy Letts, Ray McKinnon, Noah Jupe, JJ Field, Caitriona Balfe, Josh Lucas, Jon Bernthal, Christian Bale, Remo Girone"
Last Christmas,2019,Paul Feig,"Emilia Clarke, Henry Golding, Emma Thompson, Michelle Yeoh, Lydia Leonard, Boris Isakovic"
Doctor Sleep,2019,Mike Flanagan,"Ewan McGregor, Kyliegh Curran, Rebecca Ferguson, Cliff Curtis, Emily Alyn Lind, Zahn McClarnon, Carl Lumbly, Jacob Tremblay"
Girlfight,2000,Karyn Kusama,"Michelle Rodriguez, Jaime Tirelli, Paul Calderon, Santiago Douglas, Ray Santiago, Elisa Bocanegra, Shannon Walker Williams"
I'll Do Anything,1994,James L. Brooks,"Nick Nolte, Whittni Wright, Albert Brooks, Joely Richardson, Julie Kavner, Tracey Ullman"
"Signal, The",2008,"David Bruckner, Jacob Gentry, Dan Bush","Anessa Ramsey, Justin Welborn, AJ Bowen, Scott Poythress, Cheri Christian"
Children of Men,2006,Alfonso Cuarón,"Clive Owen, Julianne Moore, Michael Caine, Chiwetel Ejiofore, Claire-Hope Ashitey, Pam Ferris, Danny Huston, Peter Mullan"
Before the Rain,,Milcho Manchevski,"Rade Serbedzija, Katrin Cartlidge, Gregoire Colin"
Like Water for Chocolate,,Alfonso Arau,"Lumi Cavazos, Marco Leonardi, Regina Torne, Mario Ivan Martinez, Yareli Arizmendi"
The Englishman Who Went up a Hill but Came down a Mountain,1995,Christopher Monger ,"Hugh Grant, Colm Meaney, Tara Fitzgerald, Ian McNeice, Kenneth Griffith, Ian Hart, Robert Pugh"
Kill Bill (Volume 1),2003,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, Michael Madsen, David Carradine, Sonny Chiba"
Evita,1996,Alan Parker,"Madonna, Antonio Banderas, Jonathan Pryce, Jimmy Nail"
"Hottie and the Nottie, The",2008,Tom Putnam,"Paris Hilton, Joel David Moore, Christine Lakin, Adam Kulbersh, The Greg Wilson, Johann Urb"
St. Vincent,2014,Theodore Melfi,"Bill Murray, Jaeden Lieberher, Melissa McCarthy, Naomi Watts, Chris O'Dowd, Terrence Howard"
"Men, Women &amp; Children",2014,Jason Reitman,"Adam Sandler, Elena Kampouris, Ansel Elgort, Kaitlyn Dever, Olivia Crocicchia, Dean Norris, Judy Greer, Jennifer Garner, Rosemary DeWitt, Emma Thompson"
