name,NetWorth_billions,Country,Source,Rank,Age,Industry,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
Johnelle Hunt,3.9,United States,trucking,752,89,Logistics,1961,founder,new,female,North America,founder non-finance,0,Other,not inherited
"Stephen Mandel, Jr.",3.9,United States,hedge funds,752,65,Finance & Investments,1997,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Gilles Martin,3.9,France,laboratory services,752,57,Healthcare,1988,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Medical,not inherited
Masahiro Miki,3.9,Japan,shoes,752,65,Fashion & Retail,1985,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Dan Olsson,3.9,Sweden,diversified,752,74,Diversified,1939,relation,new,male,Europe,inherited,Financial,Diversified financial,father
Robert Rowling,3.9,United States,"hotels, investments",752,67,Service,1980,relation,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Mark Shoen,3.9,United States,U-Haul,752,70,Automotive,1945,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Daniel D'Aniello,3.8,United States,private equity,775,74,Finance & Investments,1987,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Oleg Deripaska,3.8,Russia,"aluminum, utilities",775,53,Metals & Mining,1994,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Feng Hailiang,3.8,China,"copper, education",775,60,Metals & Mining,1989,founder,new,male,East Asia,founder non-finance,0,0,not inherited
John Gandel,3.8,Australia,shopping malls,775,86,Real Estate,1939,relation,aquired,male,North America,inherited,Financial,Real Estate,father
Jaime Gilinski Bacal,3.8,Colombia,banking,775,63,Finance & Investments,1991,relation,aquired,male,Latin America,self-made finance,Financial,Money Management,not inherited
"Amos Hostetter, Jr.",3.8,United States,cable television,775,84,Media & Entertainment,1964,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Kuok Khoon Hong,3.8,Singapore,palm oil,775,71,Manufacturing,1991,founder,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Wolfgang Reimann,3.8,Germany,consumer goods,775,68,Fashion & Retail,1923,relation,aquired,male,Europe,inherited,Traded Sectors,Consumer,father
Matthias Reimann-Andersen,3.8,Germany,consumer goods,775,56,Fashion & Retail,1923,relation,aquired,male,Europe,inherited,Traded Sectors,Consumer,father
Stefan Reimann-Andersen,3.8,Germany,consumer goods,775,57,Fashion & Retail,1923,relation,aquired,male,Europe,inherited,Traded Sectors,Consumer,father
Renate Reimann-Haas,3.8,Germany,consumer goods,775,69,Fashion & Retail,1923,relation,aquired,female,Europe,inherited,Traded Sectors,Consumer,father
Shaul Shani,3.8,Israel,telecom,775,66,Telecom,1961,owner,aquired,male,Middle East/North Africa,founder non-finance,New Sectors,Technology-Computer,not inherited
Donald Sterling,3.8,United States,real estate,775,86,Real Estate,1961,owner,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Zhu Gongshan,3.8,China,solar panel materials,775,63,Manufacturing,2008,founder,new,male,East Asia,privatized and resources,Resource Related,Energy,not inherited
Peter Gilgan,3.7,Canada,homebuilding,807,70,Construction & Engineering,1978,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Marian Ilitch,3.7,United States,Little Caesars,807,88,Food & Beverage,1959,founder,new,female,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Mary Alice Dorrance Malone,3.7,United States,Campbell Soup,807,71,Food & Beverage,1869,relation,aquired,female,North America,inherited,Traded Sectors,Consumer,3rd generation
Michael Milken,3.7,United States,investments,807,74,Finance & Investments,1935,head of high-yield bond trading dept,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Ronald Perelman,3.7,United States,leveraged buyouts,807,78,Finance & Investments,1980,founder,aquired,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Paolo & Gianfelice Mario Rocca,3.7,Italy,pipe manufacturing,807,,Metals & Mining,1945,relation,new,male,Europe,inherited,Traded Sectors,Non-consumer industrial,3rd generation
Jeff Rothschild,3.7,United States,Facebook,807,66,Technology,2004,Vice President of Infrastructure Software,new,male,North America,executive,New Sectors,Technology-Computer,not inherited
David Rubenstein,3.7,United States,private equity,807,71,Finance & Investments,1987,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Steven Spielberg,3.7,United States,movies,807,74,Media & Entertainment,1994,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Mark Stevens,3.7,United States,venture capital,807,61,Finance & Investments,1972,partner,new,male,North America,self-made finance,Financial,Venture Capital,not inherited
"Austen Cargill, II.",3.6,United States,Cargill,831,70,Food & Beverage,1865,relation,new,male,North America,inherited,Financial,Money Management,3rd generation
"James Cargill, II.",3.6,United States,Cargill,831,71,Food & Beverage,1865,relation,new,male,North America,inherited,Financial,Money Management,3rd generation
Chu Lam Yiu,3.6,Hong Kong,flavorings,831,51,Manufacturing,1990,founder and chairwoman,new,female,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Hu Kaijun,3.6,China,pharmaceuticals,831,59,Healthcare,2005,owner,new,male,East Asia,privatized and resources,New Sectors,Technology-Medical,not inherited
S. Curtis Johnson,3.6,United States,cleaning products,831,65,Manufacturing,1886,relation,new,male,North America,inherited,Traded Sectors,Consumer,5th generation or longer
Helen Johnson-Leipold,3.6,United States,cleaning products,831,64,Manufacturing,1886,relation,new,female,North America,inherited,Traded Sectors,Consumer,5th generation or longer
Daryl Katz,3.6,Canada,pharmacies,831,59,Diversified,1991,Chairman and Chief Executive Officer,franchise rights,male,North America,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Peter Kellogg,3.6,United States,investments,831,78,Finance & Investments,1931,relation,new,male,North America,inherited,Financial,Diversified financial,father
Samuel Tak Lee,3.6,Hong Kong,real estate,831,81,Real Estate,1958,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Marianne Liebmann,3.6,United States,Cargill,831,67,Food & Beverage,1865,relation,new,female,North America,inherited,Financial,Money Management,3rd generation
Daniel Och,3.6,United States,hedge funds,831,60,Finance & Investments,1994,"founder, chairman, ceo",new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Anthony Pritzker,3.6,United States,"hotels, investments",831,60,Service,1957,relation,aquired,male,North America,inherited,Financial,Real Estate,father
Ty Warner,3.6,United States,"real estate, plush toys",831,76,Real Estate,1986,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Zhang Hongwei,3.6,China,"oil, banking",831,66,Diversified,2007,chairman,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Andrej Babis,3.5,Czechia,agriculture,859,66,Food & Beverage,1993,owner and former CEO,new,male,Europe,executive,Traded Sectors,Consumer,not inherited
Hubert Burda,3.5,Germany,publishing,859,81,Media & Entertainment,1898,relation,new,male,Europe,inherited,Non-Traded Sectors,Media,father
David Filo,3.5,United States,Yahoo,859,54,Technology,1994,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Sergei Galitsky,3.5,Russia,retail,859,53,Fashion & Retail,1994,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
H. Fisk Johnson,3.5,United States,cleaning products,859,62,Manufacturing,1886,relation,new,male,North America,inherited,Traded Sectors,Consumer,5th generation or longer
Daniel Loeb,3.5,United States,hedge funds,859,59,Finance & Investments,1995,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
N.R. Narayana Murthy,3.5,India,software services,859,74,Technology,1981,founder,new,male,South Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
John Paulson,3.5,United States,hedge funds,859,65,Finance & Investments,1994,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Michael Rubin,3.5,United States,online retail,859,48,Fashion & Retail,1995,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Thomas Secunda,3.5,United States,Bloomberg LP,859,66,Media & Entertainment,1981,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Vivek Chaand Sehgal,3.5,Australia,auto parts,859,64,Automotive,1986,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Romesh T. Wadhwani,3.5,United States,software,859,73,Technology,2002,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Francesco Gaetano Caltagirone,3.4,Italy,"cement, diversified",891,78,Construction & Engineering,1947,owner,aquired,male,Europe,executive,Non-Traded Sectors,Constrution,not inherited
"William Conway, Jr.",3.4,United States,private equity,891,71,Finance & Investments,1987,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Jim Davis,3.4,United States,staffing & recruiting,891,61,Service,1972,Chairman,aquired,male,North America,executive,Traded Sectors,Consumer,not inherited
Alexander Frolov,3.4,Russia,"mining, steel",891,56,Metals & Mining,1992,ceo,aquired,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Fiona Geminder,3.4,Australia,manufacturing,891,56,Manufacturing,1948,relation,new,female,North America,inherited,Traded Sectors,Consumer,3rd generation
Zarakh Iliev,3.4,Russia,real estate,891,54,Real Estate,0,founder,,male,Europe,self-made finance,Financial,Real Estate,not inherited
Angela Leong,3.4,Hong Kong,casinos,891,60,Real Estate,1962,relation,new,female,East Asia,inherited,Financial,Real Estate,spouse/widow
Arnon Milchan,3.4,Israel,movie making,891,76,Media & Entertainment,1991,founder,new,male,Middle East/North Africa,founder non-finance,Non-Traded Sectors,Media,not inherited
Arturo Moreno,3.4,United States,"billboards, Anaheim Angels",891,74,Sports,1947,CEO,new,male,North America,self-made finance,Financial,Real Estate,not inherited
God Nisanov,3.4,Russia,real estate,891,48,Real Estate,0,founder,,male,Europe,self-made finance,Financial,Real Estate,not inherited
Remo Ruffini,3.4,Italy,winter jackets,891,59,Fashion & Retail,1954,owner,aquired,male,Europe,executive,Traded Sectors,Consumer,not inherited
Patrick Ryan,3.4,United States,insurance,891,83,Finance & Investments,1982,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Lynn Schusterman,3.4,United States,"oil & gas, investments",891,82,Energy,1971,relation,new,female,North America,inherited,Resource Related,Energy,spouse/widow
Bulat Utemuratov,3.4,Kazakhstan,"mining, banking, hotels",891,63,Metals & Mining,1995,founder,new,male,South Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Kelcy Warren,3.4,United States,pipelines,891,65,Energy,1994,Chairman and Chief Executive Officer,new,male,North America,executive,Traded Sectors,Non-consumer industrial,not inherited
Vladimir Yevtushenkov,3.4,Russia,"telecom, investments",891,72,Telecom,1993,Chairman/founder,new,male,Europe,privatized and resources,Non-Traded Sectors,Media,not inherited
John Arnold,3.3,United States,hedge funds,925,47,Finance & Investments,2003,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Senapathy Gopalakrishnan,3.3,India,software services,925,66,Technology,1981,founder and executive vice chairman,new,male,South Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
B. Wayne Hughes,3.3,United States,self storage,925,87,Service,1972,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Ravi Jaipuria,3.3,India,"soft drinks, fast food",925,66,Food & Beverage,1960,relation,new,male,South Asia,executive,Traded Sectors,Consumer,not inherited
Samvel Karapetyan,3.3,Russia,real estate,925,55,Construction & Engineering,1999,founder,new,male,Europe,founder non-finance,Financial,Other,not inherited
Yuri Kovalchuk,3.3,Russia,"banking, insurance, media",925,69,Finance & Investments,1990,Head of Board of Directors,new,male,Europe,privatized and resources,Financial,Money Management,not inherited
Jean (Gigi) Pritzker,3.3,United States,"hotels, investments",925,58,Service,1957,relation,aquired,female,North America,inherited,Financial,Real Estate,father
Qi Xiangdong,3.3,China,software,925,50,Technology,2005,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
"Bernard Saul, II.",3.3,United States,"banking, real estate",925,88,Finance & Investments,1899,relation,new,male,North America,inherited,Financial,Money Management,3rd generation
Lucio Tan,3.3,Philippines,diversified,925,86,Diversified,1982,founder,new,male,East Asia,privatized and resources,Financial,Diversified financial,not inherited
Wang Wenxue,3.3,China,real estate,925,53,Real Estate,1998,chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Hans Peter Wild,3.3,Switzerland,flavorings,925,79,Food & Beverage,1931,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
"William Wrigley, Jr.",3.3,United States,chewing gum,925,57,Food & Beverage,1891,relation,new,male,North America,inherited,Traded Sectors,Consumer,4th generation
Giuliana Benetton,3.2,Italy,"fashion retail, investments",956,83,Fashion & Retail,1965,founder,new,female,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Luciano Benetton,3.2,Italy,"fashion retail, investments",956,85,Fashion & Retail,1965,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Juan Carlos Escotet,3.2,Venezuela,banking,956,61,Finance & Investments,1992,founder,new,male,Latin America,self-made finance,Financial,Money Management,not inherited
Carlo Fidani,3.2,Canada,real estate,956,66,Real Estate,1948,relation,new,male,North America,inherited,Financial,Real Estate,3rd generation
Don Hankey,3.2,United States,auto loans,956,77,Finance & Investments,1954,founder,aquired,male,North America,self-made finance,Financial,Money Management,not inherited
Otto Happel,3.2,Germany,engineering,956,73,Construction & Engineering,1920,relation,new,male,Europe,inherited,0,Other,father
Heidi Horten,3.2,Austria,retail,956,80,Fashion & Retail,1936,relation,new,female,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Maja Oeri,3.2,Switzerland,Pharmaceuticals,956,66,Healthcare,1896,relative,new,female,Europe,inherited,New Sectors,Technology-Medical,father
James Packer,3.2,Australia,casinos,956,53,Gambling & Casinos,1936,relation,aquired,male,North America,inherited,Financial,Real Estate,3rd generation
John Sall,3.2,United States,software,956,73,Technology,1976,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Naguib Sawiris,3.2,Egypt,telecom,956,66,Telecom,1950,relation,new,male,Middle East/North Africa,inherited,Non-Traded Sectors,Media,father
Zygmunt Solorz-Zak,3.2,Poland,TV broadcasting,956,64,Media & Entertainment,1992,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,Media,not inherited
Lawrence Stroll,3.2,Canada,fashion investments,956,61,Fashion & Retail,1981,chairman,new,male,North America,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Tsai Hong-tu,3.2,Taiwan,finance,956,68,Finance & Investments,1962,relation,new,male,East Asia,inherited,Financial,Money Management,father
Steve Wynn,3.2,United States,"casinos, hotels",956,79,Gambling & Casinos,1973,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Zhang Li,3.2,China,real estate,956,68,Real Estate,1994,chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
John Caudwell,3.1,United Kingdom,mobile phones,986,68,Telecom,1986,founder,new,male,Europe,founder non-finance,Traded Sectors,Consumer,not inherited
Martin Ebner,3.1,Switzerland,investments,986,75,Finance & Investments,1985,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
John Fisher,3.1,United States,Gap,986,59,Fashion & Retail,1969,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Li Zhongchu,3.1,China,software,986,57,Technology,1995,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Prasert Prasarttong-Osoth,3.1,Thailand,hospitals,986,88,Healthcare,1969,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Penny Pritzker,3.1,United States,"hotels, investments",986,61,Finance & Investments,1957,relation,aquired,female,North America,inherited,Financial,Real Estate,father
Jerry Speyer,3.1,United States,real estate,986,80,Real Estate,1978,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Koos Bekker,3,South Africa,"media, investments",1008,68,Media & Entertainment,1985,founder,new,male,Sub-Saharan Africa,founder non-finance,Non-Traded Sectors,Media,not inherited
Philippe Foriel-Destezet,3,France,employment agency,1008,85,Service,1996,owner,aquired,male,Europe,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Alec Gores,3,United States,private equity,1008,68,Finance & Investments,1987,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Jimmy Haslam,3,United States,"gas stations, retail",1008,67,Fashion & Retail,1981,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Huang Rulun,3,China,real estate,1008,69,Real Estate,1991,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
James Irsay,3,United States,Indianapolis Colts,1008,61,Sports,1953,relation,aquired,male,North America,inherited,0,Other,father
Kwek Leng Beng,3,Singapore,diversified,1008,80,Diversified,1948,relation,new,male,East Asia,inherited,Financial,Diversified financial,father
Louis Le Duff,3,France,bakeries,1008,74,Food & Beverage,1976,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
James Leprino,3,United States,cheese,1008,83,Food & Beverage,1950,relation and chairman,new,male,North America,inherited,Traded Sectors,Consumer,father
Peter Lim,3,Singapore,investments,1008,67,Finance & Investments,1991,investor,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Or Wai Sheun,3,Hong Kong,real estate,1008,69,Real Estate,1961,chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Haim Saban,3,United States,"TV network, investments",1008,76,Media & Entertainment,1988,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Gil Shwed,3,Israel,software,1008,52,Technology,1993,founder,new,male,Middle East/North Africa,founder non-finance,New Sectors,Technology-Computer,not inherited
Song Zuowen,3,China,"aluminum, diversified",1008,74,Diversified,1978,founder,new,male,East Asia,privatized and resources,Financial,Diversified financial,not inherited
Friede Springer,3,Germany,publishing,1008,78,Media & Entertainment,1946,relation,new,female,Europe,inherited,Non-Traded Sectors,Media,spouse/widow
Pat Stryker,3,United States,medical equipment,1008,65,Healthcare,1941,relation,new,female,North America,inherited,New Sectors,Technology-Medical,3rd generation
Andrew Tan,3,Philippines,diversified,1008,71,Diversified,1993,Chairman and Chief Executive Officer,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Tian Ming,3,China,measuring instruments,1008,67,Technology,1990,owner,new,male,East Asia,executive,Traded Sectors,Non-consumer industrial,not inherited
Wang Changtian,3,China,"TV, movie production",1008,55,Media & Entertainment,2000,chairman,new,male,East Asia,founder non-finance,Non-Traded Sectors,Media,not inherited
Juan Abello,2.9,Spain,investments,1064,79,Finance & Investments,1938,relation,new,male,Europe,inherited,Financial,Diversified financial,father
Sid Bass,2.9,United States,"oil, investments",1064,78,Energy,1919,relation,new,male,North America,inherited,Resource Related,Energy,father
Bennett Dorrance,2.9,United States,Campbell Soup,1064,75,Food & Beverage,1869,relation,aquired,male,North America,inherited,Traded Sectors,Consumer,3rd generation
Walter Faria,2.9,Brazil,beer,1064,66,Food & Beverage,1994,owner,aquired,male,Latin America,executive,Traded Sectors,Consumer,not inherited
Liang Yunchao,2.9,China,nutritional supplements,1064,52,Food & Beverage,1995,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Farhad Moshiri,2.9,United Kingdom,diversified,1064,65,Diversified,1999,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Patrice Motsepe,2.9,South Africa,mining,1064,59,Metals & Mining,1997,founder and executive chairman,new,male,Sub-Saharan Africa,privatized and resources,Resource Related,Mining and metals,not inherited
Alexander Nesis,2.9,Russia,"metals, banking, fertilizers",1064,58,Finance & Investments,1991,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Alexander Ponomarenko,2.9,Russia,"real estate, airport",1064,56,Logistics,1957,chairman,privatization,male,Europe,privatized and resources,Financial,Real Estate,not inherited
Chandru Raheja,2.9,India,real estate,1064,80,Real Estate,1956,founder,new,male,South Asia,self-made finance,Financial,Real Estate,not inherited
Arkady Rotenberg,2.9,Russia,"construction, pipes, banking",1064,69,Construction & Engineering,1930,owner,"new, privitization",male,Europe,privatized and resources,Non-Traded Sectors,Constrution,not inherited
Alexander Skorobogatko,2.9,Russia,"real estate, airport",1064,53,Logistics,1958,chairman,privatization,male,Europe,privatized and resources,Financial,Real Estate,not inherited
Jeff Sutton,2.9,United States,real estate,1064,61,Real Estate,1994,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Glen Taylor,2.9,United States,printing,1064,79,Service,1975,founder,aquired,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
William Ackman,2.8,United States,hedge funds,1111,54,Finance & Investments,2005,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Aneel Bhusri,2.8,United States,business software,1111,55,Technology,1965,partner,new,male,North America,executive,New Sectors,Technology-Computer,not inherited
Norman Braman,2.8,United States,"art, car dealerships",1111,88,Automotive,1957,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Eva Maria Bucher-Haefner,2.8,Switzerland,"software, investments",1111,64,Technology,1976,relation,new,female,Europe,inherited,New Sectors,Technology-Computer,father
John Catsimatidis,2.8,United States,"oil, real estate",1111,72,Energy,1971,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
James Clark,2.8,United States,"Netscape, investments",1111,77,Technology,1994,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Bergit Douglas,2.8,Germany,consumer goods,1111,74,Food & Beverage,1891,relation,new,female,Europe,inherited,Traded Sectors,Consumer,4th generation
Doris Fisher,2.8,United States,Gap,1111,89,Fashion & Retail,1969,founder,new,female,North America,founder non-finance,Traded Sectors,Consumer,not inherited
David Gottesman,2.8,United States,investments,1111,94,Finance & Investments,1964,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
John Henry,2.8,United States,sports,1111,71,Sports,1981,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Alan Howard,2.8,United Kingdom,hedge funds,1111,57,Finance & Investments,2002,founder,new,male,Europe,self-made finance,Financial,Hedge funds,not inherited
Micky Jagtiani,2.8,India,retail,1111,69,Fashion & Retail,1973,founder,new,male,South Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Alicia Koplowitz,2.8,Spain,"construction, investments",1111,67,Finance & Investments,1952,relation,aquired,female,Europe,inherited,Non-Traded Sectors,Constrution,father
Timur Kulibaev,2.8,Kazakhstan,banking,1111,54,Finance & Investments,1923,owner,privatization,male,South Asia,privatized and resources,Financial,Money Management,not inherited
Dinara Kulibaeva,2.8,Kazakhstan,banking,1111,53,Finance & Investments,1923,owner,privatization,female,South Asia,privatized and resources,Financial,Money Management,not inherited
Li Sze Lim,2.8,Hong Kong,real estate,1111,64,Real Estate,1994,founder and chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
"Drayton McLane, Jr.",2.8,United States,"Walmart, logistics",1111,84,Fashion & Retail,1894,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",not inherited
Hans Melchers,2.8,Netherlands,"chemicals, investments",1111,82,Finance & Investments,1873,relation,new,male,Europe,executive,Traded Sectors,Non-consumer industrial,not inherited
Philip Niarchos,2.8,Greece,art collection,1111,67,Diversified,1952,relation,new,male,Europe,inherited,0,Other,father
Alfred Oetker,2.8,Germany,consumer goods,1111,54,Fashion & Retail,1891,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
August Oetker,2.8,Germany,consumer goods,1111,76,Fashion & Retail,1891,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Carl Ferdinand Oetker,2.8,Germany,consumer goods,1111,48,Fashion & Retail,1891,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Christian Oetker,2.8,Germany,consumer goods,1111,72,Fashion & Retail,1891,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Julia Oetker,2.8,Germany,consumer goods,1111,42,Fashion & Retail,1891,relation,new,female,Europe,inherited,Traded Sectors,Consumer,4th generation
Richard Oetker,2.8,Germany,consumer goods,1111,70,Fashion & Retail,1891,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Filiz Sahenk,2.8,Turkey,diversified,1111,54,Diversified,1951,relation,new,female,Middle East/North Africa,inherited,Financial,Money Management,father
Rosely Schweizer,2.8,Germany,consumer goods,1111,80,Fashion & Retail,1891,relation,new,female,Europe,inherited,Traded Sectors,Consumer,4th generation
Warren Stephens,2.8,United States,investment banking,1111,64,Finance & Investments,1933,relation,new,male,North America,inherited,Financial,Money Management,father
Kenneth Tuchman,2.8,United States,outsourcing,1111,61,Service,1982,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Stefan von Holtzbrinck,2.8,Germany,publishing,1111,57,Media & Entertainment,1948,relation,new,male,Europe,inherited,Non-Traded Sectors,Media,father
Timothy Boyle,2.7,United States,Columbia Sportswear,1174,71,Fashion & Retail,1938,relation,new,male,North America,inherited,Traded Sectors,Consumer,3rd generation
John Paul DeJoria,2.7,United States,"hair products, tequila",1174,76,Fashion & Retail,1980,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Mitchell Goldhar,2.7,Canada,real estate,1174,59,Real Estate,1990,owner,new,male,North America,self-made finance,Financial,Real Estate,not inherited
James Jannard,2.7,United States,sunglasses,1174,71,Fashion & Retail,1975,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Vinod Khosla,2.7,United States,venture capital,1174,66,Technology,1982,founder,new,male,North America,self-made finance,Financial,Venture Capital,not inherited
Lu Zhiqiang,2.7,China,real estate,1174,68,Real Estate,1985,chairman,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Sergio Mantegazza,2.7,Switzerland,travel,1174,93,Service,1928,relation,new,male,Europe,inherited,0,Other,father
Nan Cunhui,2.7,China,power equipment,1174,57,Manufacturing,1984,chairman,new,male,East Asia,executive,New Sectors,Technology-Computer,not inherited
Sean Parker,2.7,United States,Facebook,1174,41,Technology,1999,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Richard Peery,2.7,United States,real estate,1174,82,Real Estate,1960,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
"H. Ross Perot, Jr.",2.7,United States,real estate,1174,62,Real Estate,1962,relation,new,male,North America,inherited,New Sectors,Technology-Computer,father
Tong Jinquan,2.7,China,real estate,1174,66,Real Estate,1992,chairman,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Yitzhak Tshuva,2.7,Israel,real estate,1174,72,Real Estate,1992,founder and chairman,new,male,Middle East/North Africa,self-made finance,Financial,Real Estate,not inherited
Oprah Winfrey,2.7,United States,TV shows,1174,67,Media & Entertainment,1986,"founder, chairwoman, ceo",new,female,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Mortimer Zuckerman,2.7,United States,"real estate, media",1174,83,Real Estate,1970,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Brian Acton,2.6,United States,WhatsApp,1205,49,Technology,2009,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Choo Chong Ngen,2.6,Singapore,hotels,1205,67,Real Estate,1996,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Abilio dos Santos Diniz,2.6,Brazil,retail,1205,84,Fashion & Retail,1948,relation,new,male,Latin America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
"John Dorrance, III.",2.6,Ireland,Campbell Soup,1205,77,Food & Beverage,1869,relation,aquired,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Stein Erik Hagen,2.6,Norway,consumer goods,1205,64,Fashion & Retail,1977,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
