Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Naruto: Uzumaki Chronicles 2 (JP sales),PS2,2006,Action,0,0,0.05,0
LEGO Pirates of the Caribbean: The Video Game,PS3,2011,Action,0.36,0.46,0,0.17
Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,DS,2007,Action,0,0,0.05,0
Nickelodeon Team Umizoomi,DS,2011,Action,0.45,0,0,0.03
Scurge: Hive,DS,2006,Action,0.05,0,0,0
Retro Game Challenge (US sales),DS,2007,Action,0.1,0,0,0
Tom Clancy's Splinter Cell,PS2,2003,Action,1.15,1.11,0,0.4
Turn It Around,DS,2006,Action,0.03,0,0,0
Rango: The Video Game,DS,2011,Action,0.07,0.03,0,0.01
Alias,PS2,2004,Action,0.05,0.04,0,0.01
Shadow of Rome,PS2,2005,Action,0.13,0.1,0,0.03
Ratatouille,Wii,2007,Action,0.44,0.04,0,0.04
Star Trek: Conquest,PS2,,Strategy,0.06,0.04,0,0.01
Franklin's Great Adventures,DS,2006,Action,0.02,0,0,0
X-Men: Destiny,DS,2011,Action,0.05,0.01,0,0
One Piece: Unlimited World Red,PS3,2014,Action,0.09,0.12,0.06,0.05
All Kamen Rider: Rider Generation,DS,2011,Action,0,0,0.12,0
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,0.32,0,0,0.02
Superman: Shadow of Apokolips,PS2,2002,Action,0.21,0.16,0,0.05
GrimGrimoire,PS2,2007,Strategy,0.01,0.01,0.03,0
Ben 10: Alien Force,DS,2008,Action,0.65,0.22,0,0.09
G-Force,DS,2009,Action,0.27,0.23,0,0.06
How to Train Your Dragon,PS3,2010,Action,0.12,0.04,0,0.02
C.O.P.: The Recruit,DS,2009,Action,0.05,0.02,0,0.01
Dynasty Warriors 4,PS2,2003,Action,0.63,0.21,1.13,0.13
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,0.59,0.46,0,0.15
Power Rangers: Dino Thunder,PS2,2004,Action,0.35,0.27,0,0.09
Super Robot Taisen α,PS,2000,Strategy,0,0,0.75,0.05
Jackass the Game DS,DS,2008,Action,0.06,0,0,0.01
Return Fire,PS,1996,Strategy,0.05,0.03,0,0.01
Ice Age: Dawn of the Dinosaurs,PS2,2009,Action,0.08,0.07,0,0.02
Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,2006,Action,0,0,0.07,0
Kidou Senshi Gundam 00,DS,2008,Action,0,0,0.08,0
Scooby-Doo! First Frights,PS2,2009,Action,0.14,0.03,0,0.16
Transformers: Autobots / Decepticons,DS,2007,Action,1.12,0.03,0,0.09
Bleach DS 4th: Flame Bringer,DS,2009,Action,0,0,0.03,0
Metal Gear Solid: Peace Walker HD Edition,PS3,2011,Action,0,0,0.15,0
Scooby-Doo! and the Spooky Swamp,PS2,2010,Action,0.08,0.11,0,0.08
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,1.9,1.83,0.95,0.49
Kikou Heidan J-Phoenix 2,PS2,2003,Action,0,0,0.04,0
Tomb Raider: Underworld,PS3,2008,Action,0.45,0.56,0.05,0.22
Shin Lucky * Star: Moe Drill ~Tabidachi~,DS,2007,Action,0,0,0.07,0
Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009,Action,0.12,0,0,0.01
Hi Hi Puffy AmiYumi: The Genie & the Amp,DS,2006,Action,0.01,0,0,0
Dynasty Warriors,PS,1997,Action,0.09,0.06,0.11,0.02
Bakugan Battle Brawlers: Defenders of the Core,Wii,2010,Action,0.15,0.01,0,0.01
Sim Theme Park,PS,1999,Strategy,0.35,0.24,0,0.04
Ninja Reflex,DS,2008,Action,0.09,0,0,0.01
Robots,DS,2005,Action,0.12,0.01,0,0.01
Gintama: Banji Oku Chuubu!,Wii,2007,Action,0,0,0.03,0
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,0,0,0.54,0.04
Brigandine: The Legend of Forsena,PS,1998,Strategy,0.05,0.03,0,0.01
Army Men: Green Rogue,PS2,2001,Action,0.06,0.05,0,0.02
Bratz: Girlz Really Rock,PS2,2008,Action,0.11,0.09,0,0.03
Barbie and Her Sisters Puppy Rescue,Wii,2015,Action,0,0.06,0,0
Space Camp,Wii,2009,Action,0.12,0,0,0.01
Front Mission 2,PS,1997,Strategy,0,0,0.49,0.03
Mobile Suit Gundam: Climax U.C.,PS2,2006,Action,0,0,0.23,0
Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,0.5,0.39,0,0.13
Shining Stars,DS,2008,Action,0.03,0,0,0
Transformers: Prime,Wii,2012,Action,0,0.01,0,0
Final Fantasy XIV: Heavensward,PS3,2015,Action,0.01,0,0.01,0
The Lord of the Rings: Aragorn's Quest,PS3,2010,Action,0.1,0.04,0,0.02
The Godfather: Dons Edition,PS3,2007,Action,0.25,0.02,0,0.03
Tom Clancy's HAWX 2,Wii,2010,Action,0.07,0.03,0,0.01
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016,Action,0.01,0.03,0,0.01
Indiana Jones and the Staff of Kings,PS2,2009,Action,0.11,0.01,0,0.16
Biohazard: Revival Selection,PS3,2011,Action,0,0,0.18,0
Resident Evil 4,Wii,2007,Action,1.34,0.57,0.14,0.21
Rune: Viking Warlord,PS2,2001,Action,0.13,0.1,0,0.03
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,2011,Action,0,0,0.22,0
Creeper World 3: Arc Eternal,Wii,2009,Strategy,0,0,0.1,0
Sonny with a Chance,DS,2010,Action,0.12,0.02,0,0.01
Fireblade,PS2,2002,Action,0.09,0.07,0,0.02
Dr. Seuss: How the Grinch Stole Christmas,DS,2007,Action,0.29,0,0,0.02
SpongeBob's Truth or Square (US sales),DS,2009,Action,0.42,0,0,0
Mobile Suit Gundam,PS,1995,Action,0,0,0.42,0.03
Madagascar: Escape 2 Africa,PS2,2008,Action,0.12,0,0,0.26
Monster Rancher Hop-A-Bout,PS,2000,Action,0.02,0.01,0,0
WarCraft II: The Dark Saga,PS,1997,Strategy,0.18,0.12,0,0.02
Herc's Adventures,PS,1997,Action,0.02,0.01,0,0
Populous DS,DS,2008,Strategy,0.07,0,0.02,0.01
Cold Fear,PS2,2005,Action,0.06,0.04,0,0.01
Resident Evil Director's Cut,PS3,2006,Action,0,0,0.04,0
Dai-2-Ji Super Robot Taisen OG,PS3,2012,Strategy,0,0,0.3,0
Covert Ops: Nuclear Dawn,PS,2000,Action,0.13,0.09,0,0.02
Jackass the Game,PS2,2007,Action,0.14,0.11,0,0.04
Chokkan! Asonde Relaxuma,DS,2008,Action,0,0,0.01,0
X-Men Origins: Wolverine,Wii,2009,Action,0.19,0.04,0,0.02
Super Robot Taisen F Kanketsuhen,PS,1999,Strategy,0,0,0.21,0.01
Legend of the Guardians: The Owls of Ga'Hoole,DS,2010,Action,0.11,0.02,0,0.01
Soul Eater: Monotone Princess,Wii,2008,Action,0,0,0.02,0
LEGO Star Wars: The Complete Saga,DS,2007,Action,2.89,1.54,0,0.46
Sushi Academy,DS,2009,Action,0.08,0,0,0.01
Grand Theft Auto,PS,1997,Action,0.79,1.35,0.04,0.14
Assault Rigs,PS,1996,Action,0.02,0.02,0,0
Allied General,PS,1996,Strategy,0.11,0.07,0,0.01
Nobunaga no Yabou: Reppuuden,PS,1999,Strategy,0,0,0.19,0.01
Tongari Boushi to Oshare na Mahou Tsukai,DS,2011,Action,0,0,0.24,0
Destroy All Humans! Big Willy Unleashed,Wii,2008,Action,0.13,0,0,0.01
The Great Escape,PS2,2003,Action,0.1,0.07,0,0.02
God of War,PS2,2005,Action,2.71,1.29,0.02,0.43
Naruto Shippuden: Dragon Blade Chronicles,Wii,2009,Action,0.11,0.02,0.05,0.01
Prince of Persia: The Forgotten Sands,PS3,2010,Action,0.19,0.36,0.01,0.13
The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,0.31,0.02,0,0.03
Generator Rex: Agent of Providence,Wii,2011,Action,0.07,0.01,0,0.01
Dynasty Warriors 6 Empires,PS3,2009,Action,0.14,0.03,0.15,0.02
Rango: The Video Game,Wii,2011,Action,0.08,0.04,0,0.01
Spyborgs,Wii,2009,Action,0.1,0.01,0,0.01
X-Men: Destiny,Wii,2011,Action,0.08,0.02,0,0.01
Bratz: Girlz Really Rock,Wii,2008,Action,0.19,0,0,0.02
Pro Baseball Spirits 2015,PS3,2015,Action,0,0,0.15,0
Prince of Persia: Rival Swords,Wii,2007,Action,0.24,0.03,0,0.02
Yakuza 3,PS3,2009,Action,0.21,0.21,0.62,0.08
Zombi Daisuki,DS,2011,Action,0,0,0.04,0
Hitman: Absolution,PS3,2012,Action,0.59,1.07,0.07,0.45
Sengoku Basara: Samurai Heroes,Wii,2010,Action,0.08,0.02,0.2,0.01
Syberia,DS,2008,Action,0.1,0.02,0,0.01
Deus Ex: The Conspiracy,PS2,2002,Action,0.1,0.08,0,0.03
Looney Tunes: Acme Arsenal,Wii,2007,Action,0.21,0.01,0,0.02
Spider-Man: Web of Shadows,PS2,2008,Action,0.1,0.08,0,0.03
Uncharted 2: Among Thieves,PS3,2009,Action,3.27,2.25,0.21,1
The Mummy: Tomb of the Dragon Emperor,PS2,2008,Action,0.12,0.1,0,0.03
NHL 08,PS3,2007,Action,0.16,0.06,0,0.03
Shaman King: Spirit of Shamans,PS,2002,Action,0,0,0.18,0.01
Theme Park Roller Coaster,PS2,2000,Strategy,0.23,0.18,0,0.06
Disney Infinity,PS3,2013,Action,0.48,0.35,0,0.16
Battle Hunter,PS,1999,Strategy,0.02,0.01,0,0
Tears to Tiara Anecdotes: The Secret of Avalon,PS3,2009,Strategy,0,0,0.04,0
LEGO Harry Potter: Years 1-4,DS,2010,Action,1.07,1.05,0,0.23
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,,Action,0.15,0.05,0.14,0.01
Katekyoo Hitman Reborn! Kindan no Yami no Delta,PS2,2008,Action,0,0,0.02,0
Deception IV: Blood Ties,PS3,2014,Action,0.02,0.02,0.06,0.01
Tengen Toppa Gurren-Lagann,DS,2007,Action,0,0,0.02,0
Chicken Shoot,DS,2007,Action,0.13,0,0,0.01
007: Quantum of Solace,PS3,2008,Action,0.43,0.52,0.02,0.2
Kamen Rider Kabuto,PS2,2006,Action,0,0,0.06,0
LEGO Rock Raiders,PS,1999,Strategy,0.06,0.04,0,0.01
The Getaway,PS2,2002,Action,1.23,1.77,0.05,0.49
Suikoden Tactics,PS2,2005,Strategy,0.06,0.05,0.07,0.02
Puss in Boots,DS,2011,Action,0.09,0.01,0,0.01
Domino Rally,Wii,2007,Action,0.05,0,0,0
Conflict Zone,PS2,2002,Strategy,0.1,0.08,0,0.03
Army Men World War: Final Front,PS,2001,Action,0.24,0.17,0,0.03
Dead Island: Riptide,PS3,2013,Action,0.26,0.2,0.07,0.09
Hannah Montana: Spotlight World Tour,Wii,2007,Action,0.87,0.38,0,0.13
Scooby-Doo! and the Spooky Swamp,DS,2010,Action,0.26,0.1,0,0.03
Ben 10: Protector of Earth,PS2,2007,Action,0.09,0,0,0.74
Zombie Hunters 2,PS2,2006,Action,0,0,0.02,0
Brave: The Video Game,DS,2012,Action,0,0.02,0,0
The Legend of Zelda: Skyward Sword,Wii,2011,Action,2.14,1.2,0.37,0.4
Original Frisbee Disc Sports: Ultimate & Golf,DS,2007,Action,0.01,0,0,0
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Action,0.36,0.45,0,0.14
Asura's Wrath,PS3,2012,Action,0.18,0.12,0.06,0.05
Goblin Commander: Unleash the Horde,PS2,2003,Strategy,0.08,0.07,0,0.02
Bee Movie Game,Wii,2007,Action,0.31,0.01,0,0.03
Shin Super Robot Taisen Special Disk,PS,1997,Strategy,0,0,0.3,0.02
Ben 10: Protector of Earth,DS,2007,Action,0.69,0.83,0,0.19
Mage Knight: Destiny's Soldier,DS,2006,Strategy,0.02,0,0,0
My Hero: Doctor,DS,2009,Action,0.02,0,0,0
Tiny Toon Adventures: Plucky's Big Adventure,PS,2001,Action,0.15,0.1,0,0.02
Yogi Bear: The Video Game,Wii,2010,Action,0.06,0.05,0,0.01
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,0.31,0,0,0.03
Emily the Strange: Strangerous,DS,2011,Action,0.04,0.03,0,0.01
Demon Chaos,PS2,,Action,0,0,0.09,0
Frogger,PS,1997,Action,3.79,0.27,0,0.11
God of War III,PS3,2010,Action,2.74,1.36,0.12,0.63
Star Wars: The Force Unleashed II,DS,2010,Action,0.18,0.04,0,0.02
Gundam Breaker 2,PS3,2014,Action,0,0,0.14,0
The Lord of the Rings: Conquest,PS3,2009,Action,0.38,0.26,0,0.12
1001 Touch Games,DS,2011,Action,0.12,0.17,0,0.04
Finding Nemo: Escape to the Big Blue,DS,2006,Action,0.12,0.04,0,0.01
The Cube,Wii,2012,Action,0,0.04,0,0
TMNT,DS,2007,Action,0.03,0.01,0,0
SpongeBob's Atlantis SquarePantis,Wii,2007,Action,0.57,0.01,0,0.04
Saiyuki: Journey West,PS,1999,Strategy,0.03,0.02,0,0
Die Hard Trilogy 2: Viva Las Vegas,PS,1999,Action,0.27,0.18,0,0.03
Create,PS3,2010,Action,0.11,0.03,0,0.02
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,0.47,0.3,0,0.13
Ratatouille,PS3,2007,Action,0.09,0.32,0,0.11
Spawn: Armageddon,PS2,2003,Action,0.22,0.17,0,0.06
Kekkaishi: Karasumori Ayakashi Kidan,DS,2007,Action,0,0,0.17,0
Looney Tunes: Acme Arsenal,PS2,2007,Action,0.19,0.15,0,0.05
Kung Fu Panda,PS3,2008,Action,0.21,0.21,0,0.09
Grand Theft Auto V,PS3,2013,Action,7.01,9.27,0.97,4.14
Mobile Suit Gundam: One Year War,PS2,2005,Action,0,0,0.44,0
Man vs. Wild,PS3,2010,Action,0.07,0,0,0.01
Heatseeker,Wii,2007,Action,0.08,0,0,0.01
Ninja: Shadow of Darkness,PS,1998,Action,0.21,0.14,0,0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,2015,Action,0,0,0.02,0
Katekyoo Hitman Reborn! Kindan no Yami no Delta,Wii,2008,Action,0,0,0.01,0
Nectaris: Military Madness,PS,1998,Strategy,0.02,0.01,0,0
Mortal Kombat: Shaolin Monks,PS2,2005,Action,0.58,0.02,0,0.09
San Goku Shi Taisen DS,DS,2007,Strategy,0,0,0.16,0
Monster High: New Ghoul in School,PS3,2015,Action,0,0.06,0,0.01
Worms: Open Warfare 2,DS,2007,Strategy,0.07,0.25,0,0.04
Spider-Man: Shattered Dimensions,DS,2010,Action,0.17,0.01,0,0.01
Action Man-Operation Extreme,PS,,Action,0.05,0.03,0,0.01
Spider-Man: Friend or Foe,Wii,2007,Action,0.13,0.01,0,0.01
Apocalypse,PS,1998,Action,0.25,0.17,0,0.03
Blade II,PS2,2002,Action,0.15,0.12,0,0.04
Grand Theft Auto: Chinatown Wars,DS,2009,Action,0.59,0.57,0.05,0.14
Dino Crisis,PS,1998,Action,0.81,0.76,0.7,0.14
Angry Birds Star Wars,Wii,2013,Strategy,0.21,0.1,0,0.03
Ninja Gaiden: Dragon Sword,DS,2008,Action,0.17,0.02,0.02,0.02
Star Wars Episode III: Revenge of the Sith,DS,2005,Action,0.25,0.03,0,0.03
3Xtreme,PS,1999,Action,0.5,0.34,0,0.06
Princess Maker: Yumemiru Yosei,PS,1997,Strategy,0,0,0.18,0.01
Fantastic Four: Rise of the Silver Surfer,DS,2007,Action,0.04,0,0,0
Top Spin 3,Wii,2008,Action,0.15,0.37,0,0.07
Indiana Jones and the Staff of Kings,Wii,2009,Action,0.36,0.3,0,0.08
Devil Kings,PS2,2005,Action,0.03,0.03,0.18,0.01
Bully,PS2,2006,Action,0.75,0.03,0.04,0.12
Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,Action,0.73,0.03,0,0.06
Adventure Time: Finn & Jake Investigations,PS3,2015,Action,0.02,0.07,0,0.02
Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,0.19,0.15,0,0.05
Spider-Man: Web of Shadows,DS,2008,Action,0.09,0,0,0.01
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005,Action,0.36,0.01,0,0.06
Culdcept,PS2,2002,Strategy,0.01,0.01,0,0
Bakugan: Battle Brawlers,PS2,2009,Action,0.21,0.16,0,0.05
Pirates of the Caribbean: At World's End,Wii,2007,Action,0.39,0.02,0.01,0.04
UFC Undisputed 3,PS3,2012,Action,0.55,0.34,0.03,0.13
GoldenEye 007 (2010),Wii,2010,Action,0.85,0.71,0.13,0.16
G-Force,PS2,2009,Action,0.12,0.01,0,0.14
Hitman 2: Silent Assassin,PS2,2002,Action,1.36,1.15,0.04,0.41
Rugrats in Paris: The Movie,PS,2000,Action,1.96,1.33,0,0.23
Detective Conan: Prelude from the Past,DS,2012,Action,0,0,0.05,0
Code Lyoko: Quest for Infinity,Wii,2007,Action,0.07,0.02,0,0.01
Army Men World War: Team Assault,PS,2001,Action,0.06,0.04,0,0.01
Attack on Titan (KOEI),PS3,2016,Action,0,0,0.06,0
LEGO Marvel's Avengers,PS3,2016,Action,0.1,0.17,0,0.05
Driver 2,PS,2000,Action,2.36,2.1,0.02,0.25
Syndicate Wars,PS,1997,Strategy,0.02,0.01,0,0
Irritating Stick,PS,1998,Action,0.01,0.01,0,0
The Chronicles of Narnia: Prince Caspian,PS2,2008,Action,0.2,0.15,0,0.05
Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,DS,2005,Action,0,0,0.03,0
SoulCalibur Legends,Wii,2007,Action,0.16,0.01,0,0.01
Dynasty Warriors: Strikeforce,PS3,2009,Action,0.11,0.08,0.07,0.03
Incredible Crisis,PS,1999,Action,0.04,0.03,0,0.01
R.U.S.E.,PS3,2010,Strategy,0.18,0.22,0.02,0.09
Far Cry 2,PS3,2008,Action,0.43,0.7,0.01,0.27
The Adventures of Tintin: The Game,PS3,2011,Action,0.06,0.16,0,0.05
Gauntlet Legends,PS,2000,Action,0.26,0.18,0,0.03
Super Robot Taisen K,DS,2009,Strategy,0,0,0.21,0
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,2009,Action,0.27,0.01,0.09,0.03
SAW,PS3,2009,Action,0.13,0.17,0,0.07
Silent Hill: Origins,PS2,2008,Action,0.03,0.03,0,0.01
America's Next Top Model,DS,2008,Action,0.1,0,0,0.01
Mafia II,PS3,2010,Action,0.5,0.72,0.04,0.26
Mafia,PS2,2004,Action,0.34,0.27,0,0.09
Negima!? Dream Tactic Yumemiru Otome Princess,PS2,2007,Strategy,0,0,0.03,0
Magic: The Gathering - Battlemage,PS,1997,Strategy,0.07,0.05,0,0.01
Prince of Persia,PS3,2008,Action,0.47,0.41,0.03,0.18
Metal Gear Solid,PS,1998,Action,3.18,1.83,0.78,0.24
Harry Potter and the Order of the Phoenix,DS,2007,Action,0.28,0.47,0,0.1
Thor: God of Thunder,DS,2011,Action,0.09,0.03,0,0.01
LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,0.6,0.01,0,0.76
Way of the Samurai 4,PS3,2011,Action,0,0.03,0.16,0.01
Fantastic Four,PS,1997,Action,0.04,0.03,0,0
Gauntlet: Dark Legacy,PS2,2001,Action,0.56,0.44,0,0.15
Maken Shao: Demon Sword,PS2,2001,Action,0,0,0.04,0
Onechanbara: Bikini Zombie Slayers,Wii,2008,Action,0.11,0,0,0.01
Dragon Ball: Origins 2,DS,2010,Action,0.05,0.02,0.08,0.01
Mini Ninjas,PS3,2009,Action,0.14,0.16,0,0.06
Strawberry Shortcake: Strawberryland Games,DS,2006,Action,0.05,0,0,0
Gintama DS: Yorozuya Daisoudou,DS,2006,Action,0,0,0.07,0
Bratz: Girlz Really Rock,DS,2008,Action,0.18,0.11,0,0.03
Batman: Rise of Sin Tzu,PS2,2003,Action,0.17,0.13,0,0.05
God of War Collection,PS3,2009,Action,1.7,0.46,0.06,0.41
Iron Man,PS2,2008,Action,0.36,0,0,0.19
Yu-Gi-Oh! World Championship 2007,DS,2007,Strategy,0,0.01,0.04,0
SPRay,Wii,2008,Action,0.04,0,0,0
Project V6,PS,1998,Strategy,0,0,0.13,0.01
Asterix & Obelix: Kick Buttix,PS2,2004,Action,0.02,0.01,0,0
Devil May Cry,PS2,2001,Action,1.36,0.86,0.64,0.13
LEGO Star Wars: The Video Game,PS2,2005,Action,1.98,1.14,0.01,0.41
Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,PS3,2010,Action,0,0,0.21,0
Ninja Reflex,Wii,2008,Action,0.11,0.01,0,0.01
MySims SkyHeroes,PS3,2010,Action,0.08,0.02,0,0.01
LEGO Star Wars II: The Original Trilogy,DS,2006,Action,0.96,0.04,0,0.08
Afro Samurai,PS3,2009,Action,0.12,0.05,0,0.03
Spyro: Shadow Legacy,DS,2005,Action,0.14,0.01,0,0.01
[Prototype 2],PS3,2012,Action,0.36,0.28,0,0.11
Onimusha 3: Demon Siege,PS2,2004,Action,0.37,0.47,0.54,0.07
SD Gundam G Generation: Cross Drive,DS,2007,Strategy,0,0,0.26,0
Battalion Wars 2,Wii,2007,Strategy,0.22,0.03,0.08,0.02
Disney Universe,PS3,2011,Action,0.3,0.23,0,0.09
Rising Zan: The Samurai Gunman,PS,1998,Action,0.01,0.01,0,0
